site_name,longitude,latitude,ngr,group,order,family,subfamily,tribe,species,ref,input_by,id,habitat,zone,cat,area,lgm,collector,notes,references
Gill Rigg Cave 1,-2.3065745,54.204556,SD80107880,Insecta:Hemiptera,Heteroptera,Veliidae,,,Velia caprai,BR10:202,Robert. I. Carthy,2712,Aquatic habitat,DZ,Eutroglophile,Cave Yorkshire Dales,NLGM,"Dixon, J",,
Gill Rigg Cave 1,-2.3065745,54.204556,SD80107880,Crustacea:Amphipoda,,Gammaridae,,,Gammarus pulex,BR10:202,Robert. I. Carthy,2713,Aquatic habitat,,Eutroglophile,Cave Yorkshire Dales,NLGM,"Dixon, J",,
Gill Rigg Cave 2,-2.3096338,54.203649,SD79907870,Insecta:Ephemeroptera,,,,,Habrophlebia fusca,BR10:202,Robert. I. Carthy,2714,Terrestrial habitat,DZ,Trogloxene,Cave Yorkshire Dales,NLGM,"Dixon, J",,
Gill Rigg Cave 2,-2.3096338,54.203649,SD79907870,Arachnida:Araneae,,Tetragnathidae,,,Metellina merianae,BR10:202,Robert. I. Carthy,2715,Terrestrial habitat,,Eutroglophile,Cave Yorkshire Dales,NLGM,"Dixon, J",,
Gill Rigg Cave 2,-2.3096338,54.203649,SD79907870,Arachnida:Araneae,,Tetragnathidae,,,Metellina merianae,BR10:202,Robert. I. Carthy,2716,Terrestrial habitat,,Eutroglophile,Cave Yorkshire Dales,NLGM,"Dixon, J",,
Biddlecombe Mine,-2.6186076,51.226853,ST56904770,Insecta:Collembola,Poduromorpha,Hypogastruridae,,,Hypogastrura purpurescens,BR10:202,Robert. I. Carthy,2717,Terrestrial habitat,,Eutroglophile,Mine (various types),,"Oldham, A; Oldham, T",,
Blackmoor Swallet,-2.7106185,51.296468,ST50555550,Arachnida:Acari,Prostigmata,Alycidae,,,Pachygnathus oblongus,BR10:202,Robert. I. Carthy,2718,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Oldham, A; Oldham, T",,
Blackmoor Swallet,-2.7106185,51.296468,ST50555550,Insecta:Collembola,Entomobryomorpha,Isotomidae,,,Parisotoma notabilis,BR10:203,Robert. I. Carthy,2719,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Oldham, A; Oldham, T",,
Mousehole,-2.6275583,51.46329,ST56507400,Insecta:Collembola,Poduromorpha,Hypogastruridae,,,Ceratophysella bengtssoni,BR10:203,Robert. I. Carthy,2720,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Oldham, A; Oldham, T",,
Mousehole,-2.6275583,51.46329,ST56507400,Insecta:Diptera,,Culicidae,,,Culex sp.,BR10:203,Robert. I. Carthy,2721,Terrestrial habitat,Th,Trogloxene,Cave Mendip Hills,,"Oldham, A; Oldham, T",,
Foxes Holes Burrington,-2.7447132,51.320534,ST48205820,Insecta:Coleoptera,Polyphaga,Staphylinidae,Staphylininae,Staphylinini,Quedius mesomelinus,BR10:203,Robert. I. Carthy,2722,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Foxes Holes Burrington,-2.7447132,51.320534,ST48205820,Insecta:Collembola,Poduromorpha,Hypogastruridae,,,Schaefferia emucronata group,BR10:203,Robert. I. Carthy,2723,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Goatchurch Cavern,-2.7536123,51.320657,ST47585822,Insecta:Collembola,Poduromorpha,Hypogastruridae,,,Schaefferia emucronata group,BR10:203,Robert. I. Carthy,2724,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Goatchurch Cavern,-2.7536123,51.320657,ST47585822,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Deuteraphorura cebennaria,BR10:203,Robert. I. Carthy,2726,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Banwell Bone Cavern,-2.8880147,51.32502,ST38225881,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Deuteraphorura cebennaria,BR10:203,Robert. I. Carthy,2727,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Sandford Levvy,-2.8210881,51.330364,ST42895935,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Onychiurus ambulans,BR10:203,Robert. I. Carthy,2728,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Banwell Bone Cavern,-2.8880147,51.32502,ST38225881,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Deuteraphorura cebennaria,BR10:203,Robert. I. Carthy,2729,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Banwell Stalactite Cavern,-2.8868633,51.324849,ST38305879,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Deuteraphorura cebennaria,BR10:203,Robert. I. Carthy,2730,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Goatchurch Cavern,-2.7536123,51.320657,ST47585822,Insecta:Coleoptera,Polyphaga,Staphylinidae,Omaliinae,Anthophagini,Lesteva pubescens,BR10:204,Robert. I. Carthy,2731,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Goatchurch Cavern,-2.7536123,51.320657,ST47585822,Insecta:Collembola,Poduromorpha,Neanuridae,,,Anurida granaria,BR10:204,Robert. I. Carthy,2732,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Nancy Camel's Hole,-2.5716744,51.19535,ST60154417,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Deuteraphorura cebennaria,BR10:204,Robert. I. Carthy,2733,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
GB Cave,-2.7531743,51.302676,ST47595622,Myriapoda:Diplopoda,,Craspedosomatidae,,,Nanogona polydesmoides,BR10:204,Robert. I. Carthy,2734,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Swildons Hole,-2.6732101,51.259013,ST53125131,Insecta:Coleoptera,Polyphaga,Helophoridae,,,Helophorus grandis,BR10:204,Robert. I. Carthy,2735,Terrestrial habitat,,Trogloxene,Cave Mendip Hills,,"Pearce, AEMcR",,
Swildons Hole,-2.6732101,51.259013,ST53125131,Insecta:Coleoptera,Polyphaga,Dermestidae,,,Anthrenus sp. larva 1st instar scrophulariae,BR10:204,Robert. I. Carthy,2736,Terrestrial habitat,,Trogloxene,Cave Mendip Hills,,"Pearce, AEMcR",,
Swildons Hole,-2.6732101,51.259013,ST53125131,Insecta:Coleoptera,Polyphaga,Helophoridae,,,Helophorus flavipes,BR10:204,Robert. I. Carthy,2737,Terrestrial habitat,,Trogloxene,Cave Mendip Hills,,"Pearce, AEMcR",,
Swildons Hole,-2.6732101,51.259013,ST53125131,Crustacea:Isopoda,,Asellidae,,,Proasellus meridianus,BR10:204,Robert. I. Carthy,2739,Aquatic habitat,,Trogloxene,Cave Mendip Hills,,"Pearce, AEMcR",,
Wookey Hole,-2.6730489,51.228351,ST53104790,Arachnida:Acari,Mesostigmata,Spinturnicidae,,,Paraperiglischrus rhinolophinus,BR10:204,Robert. I. Carthy,2740,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Nancy Camel's Hole,-2.5716744,51.19535,ST60154417,Insecta:Collembola,Entomobryomorpha,Tomoceridae,,,Tomocerus minor,BR10:204,Robert. I. Carthy,2741,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Lamb Leer Cavern,-2.656495,51.292828,ST54325506,Insecta:Collembola,Poduromorpha,Hypogastruridae,,,Schaefferia emucronata group,BR10:204,Robert. I. Carthy,2742,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Coral Cave,-2.8518329,51.293188,ST40705524,Insecta:Diptera,,Mycetophilidae,Mycetophilinae,Exechiini,Rymosia sp.,BR10:204,Robert. I. Carthy,2743,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Goatchurch Cavern,-2.7536123,51.320657,ST47585822,Myriapoda:Diplopoda,,Nemasomatidae,,,Nemasoma varicorne,BR10:205,Robert. I. Carthy,2744,Terrestrial habitat,,Trogloxene,Cave Mendip Hills,,"Pearce, AEMcR",,
Sandford Levvy,-2.8210881,51.330364,ST42895935,Insecta:Diptera,,Heleomyzidae,Heleomyzinae,Heleomyzini,Heleomyza captiosa,BR10:205,Robert. I. Carthy,2745,Terrestrial habitat,DTh,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Sandford Levvy,-2.8210881,51.330364,ST42895935,Insecta:Lepidoptera,,Geometridae,,,Triphosa dubitata,BR10:205,Robert. I. Carthy,2746,Terrestrial habitat,,Subtroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Sandford Levvy,-2.8210881,51.330364,ST42895935,Insecta:Collembola,Poduromorpha,Hypogastruridae,,,Schaefferia emucronata group,BR10:205,Robert. I. Carthy,2747,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Avelines Hole,-2.7532496,51.324796,ST47615868,Arachnida:Acari,Prostigmata,Bdellidae,,,Bdellodes longirostris,BR10:205,Robert. I. Carthy,2748,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
St. Cuthberts Swallet,-2.6561973,51.251826,ST54305050,Insecta:Collembola,Entomobryomorpha,Entomobryidae,,,Heteromurus nitidus,BR10:205,Robert. I. Carthy,2749,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
St. Cuthberts Swallet,-2.6561973,51.251826,ST54305050,Insecta:Collembola,Poduromorpha,Neanuridae,,,Anurida granaria,BR10:205,Robert. I. Carthy,2750,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
St. Cuthberts Swallet,-2.6561973,51.251826,ST54305050,Insecta:Diptera,,Phoridae,,,Triphleba antricola,BR10:205,Robert. I. Carthy,2751,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Sandford Levvy,-2.8210881,51.330364,ST42895935,Insecta:Collembola,Entomobryomorpha,Tomoceridae,,,Tomocerus minor,BR10:205,Robert. I. Carthy,2752,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Sandford Levvy,-2.8210881,51.330364,ST42895935,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Deuteraphorura cebennaria,BR10:205,Robert. I. Carthy,2753,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Sandford Levvy,-2.8210881,51.330364,ST42895935,Insecta:Lepidoptera,,Geometridae,,,Triphosa dubitata,BR10:205,Robert. I. Carthy,2754,Terrestrial habitat,,Subtroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
GB Cave,-2.7531743,51.302676,ST47595622,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Deuteraphorura cebennaria,BR10:205,Robert. I. Carthy,2755,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
GB Cave,-2.7531743,51.302676,ST47595622,Insecta:Diptera,,Sciaridae,,,Sciara sp.,BR10:206,Robert. I. Carthy,2756,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Great Oones Hole,-2.7641618,51.281923,ST46805392,Insecta:Collembola,Entomobryomorpha,Entomobryidae,,,Pseudosinella sp.,BR10:206,Robert. I. Carthy,2757,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Long Hole,-2.7658747,51.281463,ST46685387,Insecta:Coleoptera,Polyphaga,Staphylinidae,Staphylininae,Staphylinini,Quedius mesomelinus,BR10:206,Robert. I. Carthy,2758,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Great Oones Hole,-2.7641618,51.281923,ST46805392,Insecta:Collembola,Entomobryomorpha,Entomobryidae,,,Pseudosinella sp.,BR10:206,Robert. I. Carthy,2759,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Nancy Camel's Hole,-2.5716744,51.19535,ST60154417,Insecta:Collembola,Entomobryomorpha,Entomobryidae,,,Pseudosinella sp.,BR10:206,Robert. I. Carthy,2760,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Lamb Leer Cavern,-2.656495,51.292828,ST54325506,Crustacea:Isopoda,,Oniscidae,,,Oniscus asellus,BR10:206,Robert. I. Carthy,2761,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Lamb Leer Cavern,-2.656495,51.292828,ST54325506,Insecta:Diptera,,Calliphoridae,,,Calliphora vicina,BR10:206,Robert. I. Carthy,2762,Terrestrial habitat,DZ,Trogloxene,Cave Mendip Hills,,"Pearce, AEMcR",,
Lamb Leer Cavern,-2.656495,51.292828,ST54325506,Turbellaria:Tricladida,,,,,Crenobia alpina,BR10:206,Robert. I. Carthy,2763,Aquatic habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Lamb Leer Cavern,-2.656495,51.292828,ST54325506,Annelida:Oligochaeta,,Lumbricidae,,,Lumbricus rubellus,BR10:206,Robert. I. Carthy,2764,Terrestrial habitat,,Trogloxene,Cave Mendip Hills,,"Pearce, AEMcR",Epigeic,
Lamb Leer Cavern,-2.656495,51.292828,ST54325506,Insecta:Trichoptera,,Phryganeidae,,cased,Phryganea grandis,BR10:207,Robert. I. Carthy,2765,Terrestrial habitat,DZ,Trogloxene,Cave Mendip Hills,,"Pearce, AEMcR",,
Lamb Leer Cavern,-2.656495,51.292828,ST54325506,Myriapoda:Chilopoda,,,,,Lithobius tricuspis,BR10:207,Robert. I. Carthy,2766,Terrestrial habitat,,Trogloxene,Cave Mendip Hills,,"Pearce, AEMcR",,
Lamb Leer Cavern,-2.656495,51.292828,ST54325506,Mollusca:Gastropoda,Pulmonata,Helicidae,,,Helix pomatia,BR10:207,Robert. I. Carthy,2767,Terrestrial habitat,,Trogloxene,Cave Mendip Hills,,"Pearce, AEMcR",,
Lamb Leer Cavern,-2.656495,51.292828,ST54325506,Mollusca:Gastropoda,Pulmonata,Limacidae,,,Limax maximus,BR10:207,Robert. I. Carthy,2768,Terrestrial habitat,,Trogloxene,Cave Mendip Hills,,"Pearce, AEMcR",,
Lamb Leer Cavern,-2.656495,51.292828,ST54325506,Insecta:Coleoptera,Adephaga,Carabidae,Pterostichinae,Pterostichini,Abax parallelopipedus,BR10:207,Robert. I. Carthy,2769,Terrestrial habitat,,Trogloxene,Cave Mendip Hills,,"Pearce, AEMcR",,
Lamb Leer Cavern,-2.656495,51.292828,ST54325506,Arachnida:Araneae,,Tetragnathidae,,,Meta menardi,BR10:207,Robert. I. Carthy,2770,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Lamb Leer Cavern,-2.656495,51.292828,ST54325506,Arachnida:Araneae,,Tetragnathidae,,,Meta menardi,BR10:207,Robert. I. Carthy,2771,Terrestrial habitat,,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Lamb Leer Cavern,-2.656495,51.292828,ST54325506,Insecta:Diptera,,Heleomyzidae,Heleomyzinae,Heleomyzini,Heleomyza captiosa,BR10:207,Robert. I. Carthy,2772,Terrestrial habitat,DTh,Eutroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Lamb Leer Cavern,-2.656495,51.292828,ST54325506,Insecta:Lepidoptera,,Geometridae,,,Triphosa dubitata,BR10:207,Robert. I. Carthy,2773,Terrestrial habitat,,Subtroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Lamb Leer Cavern,-2.656495,51.292828,ST54325506,Insecta:Diptera,,Culicidae,,,Culex pipiens,BR10:207,Robert. I. Carthy,2774,Terrestrial habitat,DZ,Subtroglophile,Cave Mendip Hills,,"Pearce, AEMcR",,
Etches Cave,-1.8906676,53.20542,SK07406760,Myriapoda:Symphyla,,Scolopendrellidae,,,Symphylella isabellae,BR10:208,Robert. I. Carthy,2775,Terrestrial habitat,,Eutroglophile,Cave Peak District,,"Plowes, J",,
Show Cave Yealmpton,-4.002665,50.344357,SX57605130,Insecta:Diptera,,Heleomyzidae,Heleomyzinae,Heleomyzini,Heleomyza captiosa,BR10:208,Robert. I. Carthy,2776,Terrestrial habitat,DTh,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Show Cave Yealmpton,-4.002665,50.344357,SX57605130,Insecta:Diptera,,Culicidae,,,Culex pipiens,BR10:208,Robert. I. Carthy,2777,Terrestrial habitat,DTh,Subtroglophile,Cave Devon,SLGM,"Barbour, TF",,
Show Cave Yealmpton,-4.002665,50.344357,SX57605130,Arachnida:Araneae,,Tetragnathidae,,,Meta menardi,BR10:208,Robert. I. Carthy,2778,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Kitley Rift,-4.002665,50.344357,SX57605130,Arachnida:Araneae,,Tetragnathidae,,,Meta menardi,BR10:208,Robert. I. Carthy,2779,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Kitley Rift,-4.002665,50.344357,SX57605130,Myriapoda:Diplopoda,,Julidae,,,Leptoiulus kervillei,BR10:208,Robert. I. Carthy,2780,Terrestrial habitat,,Trogloxene,Cave Devon,SLGM,"Barbour, TF",,
Kitley Rift,-4.002665,50.344357,SX57605130,Insecta:Thysanura,,,,,Trigoniophthamus alternatus,BR10:208,Robert. I. Carthy,2781,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Radford Cave,-4.1057453,50.355127,SX50305270,Insecta:Diptera,,Heleomyzidae,Heleomyzinae,Heleomyzini,Scoliocentra confusa,BR10:208,Robert. I. Carthy,2783,Terrestrial habitat,DZ,Trogloxene,Cave Devon,SLGM,"Barbour, TF",,
Radford Cave,-4.1057453,50.355127,SX50305270,Insecta:Coleoptera,Polyphaga,Staphylinidae,Staphylininae,Staphylinini,Quedius mesomelinus,BR10:208,Robert. I. Carthy,2784,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Radford Cave,-4.1057453,50.355127,SX50305270,Insecta:Diptera,,Culicidae,,,Culex pipiens,BR10:208,Robert. I. Carthy,2785,Terrestrial habitat,DZ,Subtroglophile,Cave Devon,SLGM,"Barbour, TF",,
Radford Cave,-4.1057453,50.355127,SX50305270,Crustacea:Isopoda,,Trichoniscidae,,,Androniscus dentiger,BR10:209,Robert. I. Carthy,2786,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Radford Cave,-4.1057453,50.355127,SX50305270,Insecta:Collembola,Poduromorpha,Hypogastruridae,,,Schaefferia emucronata group,BR10:209,Robert. I. Carthy,2787,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Radford Cave,-4.1057453,50.355127,SX50305270,Insecta:Collembola,Entomobryomorpha,Entomobryidae,,,Pseudosinella immaculata,BR10:209,Robert. I. Carthy,2788,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Radford Cave,-4.1057453,50.355127,SX50305270,Insecta:Diptera,,Sciaridae,,,Bradysia sp.,BR10:209,Robert. I. Carthy,2789,Terrestrial habitat,DZ,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Radford Cave,-4.1057453,50.355127,SX50305270,Mollusca:Gastropoda,Pulmonata,Planorbidae,,,Planorbis sp. immature,BR10:209,Robert. I. Carthy,2790,Aquatic habitat,,Trogloxene,Cave Devon,SLGM,"Barbour, TF",,
Haw Cave,-4.102362,50.354918,SX50545267,Mollusca:Gastropoda,Pulmonata,Helicidae,,,Cornu aspersum,BR10:209,Robert. I. Carthy,2791,Terrestrial habitat,,Trogloxene,Cave Devon,SLGM,"Barbour, TF",,
Haw Cave,-4.102362,50.354918,SX50545267,Mollusca:Gastropoda,Pulmonata,Clausiliidae,,,Clausilia bidentata,BR10:209,Robert. I. Carthy,2792,Terrestrial habitat,,Trogloxene,Cave Devon,SLGM,"Barbour, TF",,
Haw Cave,-4.102362,50.354918,SX50545267,Mollusca:Gastropoda,Pulmonata,Helicidae,,,Cepaea nemoralis,BR10:209,Robert. I. Carthy,2793,Terrestrial habitat,,Trogloxene,Cave Devon,SLGM,"Barbour, TF",,
Haw Cave,-4.102362,50.354918,SX50545267,Crustacea:Isopoda,,Oniscidae,,,Oniscus asellus,BR10:209,Robert. I. Carthy,2794,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Haw Cave,-4.102362,50.354918,SX50545267,Insecta:Thysanura,,,,,Trigoniophthamus alternatus,BR10:209,Robert. I. Carthy,2795,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Haw Cave,-4.102362,50.354918,SX50545267,Insecta:Diptera,,Culicidae,,,Culex pipiens,BR10:209,Robert. I. Carthy,2796,Terrestrial habitat,DZ,Subtroglophile,Cave Devon,SLGM,"Barbour, TF",,
Haw Cave,-4.102362,50.354918,SX50545267,Arachnida:Araneae,,Tetragnathidae,,,Meta menardi,BR10:209,Robert. I. Carthy,2797,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Haw Cave,-4.102362,50.354918,SX50545267,Insecta:Diptera,,Limoniidae,Limoniinae,Limoniini,Limonia nubeculosa,BR10:210,Robert. I. Carthy,2798,Terrestrial habitat,DZ,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Haw Cave,-4.102362,50.354918,SX50545267,Mollusca:Gastropoda,Pulmonata,Patulidae,,,Discus rotundatus,BR10:210,Robert. I. Carthy,2799,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Haw Cave,-4.102362,50.354918,SX50545267,Mollusca:Gastropoda,Pulmonata,Oxychilidae,,,Oxychilus navarricus,BR10:210,Robert. I. Carthy,2800,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Haw Cave,-4.102362,50.354918,SX50545267,Mollusca:Gastropoda,Pulmonata,Hygromiidae,,,Trochulus striolatus,BR10:210,Robert. I. Carthy,2801,Terrestrial habitat,,Trogloxene,Cave Devon,SLGM,"Barbour, TF",,
Radford Cave,-4.1057453,50.355127,SX50305270,Arachnida:Acari,Mesostigmata,Parasitidae,,,Eugamasus loricatus,BR10:210,Robert. I. Carthy,2802,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Radford Cave,-4.1057453,50.355127,SX50305270,Insecta:Collembola,Entomobryomorpha,Entomobryidae,,,Entomobrya muscorum,BR10:210,Robert. I. Carthy,2803,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Radford Cave,-4.1057453,50.355127,SX50305270,Mollusca:Gastropoda,Pulmonata,Arionidae,,,Arion hortensis,BR10:210,Robert. I. Carthy,2804,Terrestrial habitat,,Trogloxene,Cave Devon,SLGM,"Barbour, TF",,
Radford Cave,-4.1057453,50.355127,SX50305270,Arachnida:Araneae,,Tetragnathidae,,,Meta menardi,BR10:210,Robert. I. Carthy,2805,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Radford Cave,-4.1057453,50.355127,SX50305270,Arachnida:Acari,Mesostigmata,Parasitidae,,,Eugamasus loricatus,BR10:210,Robert. I. Carthy,2806,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Radford Cave,-4.1057453,50.355127,SX50305270,Myriapoda:Diplopoda,,Craspedosomatidae,,,Nanogona polydesmoides,BR10:210,Robert. I. Carthy,2808,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Radford Cave,-4.1057453,50.355127,SX50305270,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Protaphorura armata,BR10:211,Robert. I. Carthy,2809,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Yealmpton Cave,-3.999856,50.344405,SX57805130,Insecta:Lepidoptera,,Erebidae,,,Scoliopteryx libatrix,BR10:211,Robert. I. Carthy,2810,Terrestrial habitat,,Subtroglophile,Cave Devon,SLGM,"Barbour, TF",,
Kitley Rift,-4.002665,50.344357,SX57605130,Mollusca:Gastropoda,Pulmonata,Oxychilidae,,,Oxychilus navarricus,BR10:211,Robert. I. Carthy,2811,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Kitley Rift,-4.002665,50.344357,SX57605130,Mollusca:Gastropoda,Pulmonata,Helicidae,,,Cepaea hortensis,BR10:211,Robert. I. Carthy,2812,Terrestrial habitat,,Trogloxene,Cave Devon,SLGM,"Barbour, TF",,
Torr Bridge Cave,-3.9998938,50.345304,SX57805140,Arachnida:Araneae,,Tetragnathidae,,,Meta sp. immature,BR10:211,Robert. I. Carthy,2813,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Gentles Cave,-4.1214014,50.362577,SX49215356,Crustacea:Isopoda,,Trichoniscidae,,,Androniscus dentiger,BR10:211,Robert. I. Carthy,2814,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
Gentles Cave,-4.1214014,50.362577,SX49215356,Arachnida:Araneae,,Theridiidae,,,Theridion sp.,BR10:211,Robert. I. Carthy,2815,Terrestrial habitat,,Trogloxene,Cave Devon,SLGM,"Barbour, TF",,
Gentles Cave,-4.1214014,50.362577,SX49215356,Myriapoda:Chilopoda,,,,,Lithobius pilicornis,BR10:211,Robert. I. Carthy,2816,Terrestrial habitat,,Trogloxene,Cave Devon,SLGM,"Barbour, TF",,
Pigeon Hole Cave,,,M13285542,Arachnida:Araneae,,Agelenidae,,,Tegenaria sp. imm,BR10:211,Robert. I. Carthy,2817,Terrestrial habitat,,Trogloxene,Cave Ireland other,,"Barbour, TF",,
Pigeon Hole Cave,,,M13285542,Crustacea:Isopoda,,Trichoniscidae,,,Androniscus dentiger,BR10:211,Robert. I. Carthy,2818,Terrestrial habitat,,Eutroglophile,Cave Ireland other,,"Barbour, TF",,
Pigeon Hole Cave,,,M13285542,Mollusca:Gastropoda,Pulmonata,Arionidae,,,Arion hortensis,BR10:211,Robert. I. Carthy,2819,Terrestrial habitat,,Trogloxene,Cave Ireland other,,"Barbour, TF",,
Cat Cave,-4.117303,50.362113,SX49505350,Crustacea:Isopoda,,Trichoniscidae,,,Trichoniscus sp.,BR10:211,Robert. I. Carthy,2820,Terrestrial habitat,,Trogloxene,Cave Devon,SLGM,"Barbour, TF",,
Napps Cave,-4.0599792,51.208553,SS56204750,Myriapoda:Chilopoda,,,,,Geophilus electricus,BR10:212,Robert. I. Carthy,2822,Terrestrial habitat,,Trogloxene,Cave Devon,SLGM,"Barbour, TF",,
Napps Cave,-4.0599792,51.208553,SS56204750,Arachnida:Acari,Ixodida,Ixodidae,,,Ixodes vespertilionis,BR10:212,Robert. I. Carthy,2823,Terrestrial habitat,,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",Fauna Europaea 2.4,
Napps Cave,-4.0599792,51.208553,SS56204750,Insecta:Diptera,,Heleomyzidae,Heleomyzinae,Heleomyzini,Heleomyza captiosa,BR10:212,Robert. I. Carthy,2824,Terrestrial habitat,DZ,Eutroglophile,Cave Devon,SLGM,"Barbour, TF",,
